,pred_label,label,sentence
1373,"['O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Just', 'beware', 'no', 'DVD', 'slot', 'so', 'when', 'I', 'went', 'to', 'install', 'software', 'I', 'had', 'on', 'CD', 'I', 'could', ""n't"", '.']"
458,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['If', 'I', 'needed', 'to', 'name', 'some', 'they', 'would', 'include', 'the', 'location', 'to', 'the', 'beach', 'or', 'Golden', 'Gate', 'park', '.']"
1271,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['I', 'had', 'to', 'install', 'Mountain', 'Lion', 'and', 'it', 'took', 'a', 'good', 'two', 'hours', '.']"
770,"['O', 'O', 'O', 'O', 'B', 'B', 'I', 'I', 'O', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O']","['O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O']","['I', 'opted', 'for', 'the', 'SquareTrade', '3', '-', 'Year', 'Computer', 'Accidental', 'Protection', 'Warranty', '(', '$', '1500', '-', '2000', ')', 'which', 'also', 'support', '``', 'accidents', ""''"", 'like', 'drops', 'and', 'spills', 'that', 'are', 'NOT', 'covered', 'by', 'AppleCare', '.']"
349,"['O', 'O', 'B', 'I', 'I', 'O', 'B', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O']","['O', 'O', 'B', 'I', 'I', 'I', 'I', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O']","['Try', 'the', 'Chef', ""'s"", 'Choice', 'for', 'sushi', 'as', 'the', 'smoked', 'yellowtail', 'was', 'incredible', 'and', 'the', 'rolls', 'were', 'also', 'tasty', '.']"
1264,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'O']","['After', 'all', 'was', 'said', 'and', 'done', ',', 'I', 'essentially', 'used', 'that', '$', '450', 'savings', 'to', 'buy', '16GB', 'of', 'RAM', ',', 'TWO', 'Seagate', 'Momentus', 'XT', 'hybrid', 'drives', 'and', 'an', 'OWC', 'upgrade', 'kit', 'to', 'install', 'the', 'second', 'hard', 'drive', '.']"
939,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'I', 'I', 'O']","['Easy', 'to', 'customize', 'setting', 'and', 'even', 'create', 'your', 'own', 'bookmarks', '.']"
1296,"['O', 'O', 'O', 'O', 'B', 'O', 'I', 'O']","['O', 'O', 'O', 'B', 'I', 'I', 'I', 'O']","['There', 'is', 'no', '``', 'tools', ""''"", 'menu', '.']"
1415,"['O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'B', 'O', 'B', 'O']","['I', 'like', 'the', 'brightness', 'and', 'adjustments', '.']"
1059,"['O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Then', 'the', 'system', 'would', 'many', 'times', 'not', 'power', 'down', 'without', 'a', 'forced', 'power', '-', 'off', '.']"
1284,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['if', 'yo', 'like', 'practicality', 'this', 'is', 'the', 'laptop', 'for', 'you', '.']"
1223,"['O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'O']","['Not', 'too', 'expense', 'and', 'has', 'enough', 'storage', 'for', 'most', 'users', 'and', 'many', 'ports', '.']"
1268,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['I', 'was', 'concerned', 'that', 'the', 'downgrade', 'to', 'the', 'regular', 'hard', 'drive', 'would', 'make', 'it', 'unacceptably', 'slow', 'but', 'I', 'need', 'not', 'have', 'worried', '-', 'this', 'machine', 'is', 'the', 'fastest', 'I', 'have', 'ever', 'owned', '...']"
216,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O']","['I', 'would', 'go', 'back', 'for', 'the', 'wine', 'experience', 'alone', '.']"
153,"['O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'B', 'I', 'I', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'B', 'O']","['I', 'can', 'highly', 'recommend', 'their', 'various', 'saag', 'and', 'paneer', 'and', 'korma', '.']"
571,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O']","['Go', 'with', 'some', 'friends', ',', 'wait', 'the', 'half', 'hour', 'or', 'so', 'with', 'a', 'cup', 'of', 'joe', ',', 'and', 'enjoy', 'more', 'than', 'your', 'average', 'breakfast', '.']"
722,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['This', 'thing', 'is', 'awesome', ',', 'everything', 'always', 'works', ',', 'everything', 'is', 'always', 'easy', 'to', 'set', 'up', ',', 'everything', 'is', 'compatible', ',', 'its', 'literally', 'everything', 'I', 'could', 'ask', 'for', '.']"
1007,"['O', 'O', 'O', 'O', 'B', 'O', 'O', 'O']","['O', 'O', 'O', 'B', 'I', 'O', 'O', 'O']","['I', 'like', 'the', 'lighted', 'screen', 'at', 'night', '.']"
598,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'B', 'O']","['O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'B', 'O']","['There', 'was', 'a', 'really', 'nice', 'vibe', 'about', 'the', 'place', '...', 'good', 'music', ',', 'atmosphere', 'and', 'happy', 'looking', 'people', '.']"
14,"['O', 'O', 'O', 'B', 'I', 'O']","['O', 'O', 'O', 'O', 'O', 'O']","['–', 'We', 'love', 'breakfast', 'food', '.']"
130,"['O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O']","['The', 'outside', 'patio', 'area', 'has', 'an', 'abbreviated', 'menu', '.']"
208,"['O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O']","['We', 'ordered', 'a', 'selection', 'of', 'the', 'small', 'plates', ',', 'and', 'the', 'shoe', 'string', 'onions', ',', 'goat', 'cheese', 'pizza', ',', 'grilled', 'asparagus', 'and', 'fried', 'brie', 'with', 'fruit', 'were', 'all', 'very', 'good', '.']"
1457,"['O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O']","['The', 'first', 'time', 'I', 'used', 'the', 'card', 'reader', 'it', 'took', 'half', 'an', 'hour', 'and', 'a', 'pair', 'of', 'tweezers', 'to', 'remove', 'the', 'card', '.']"
324,"['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['The', 'place', 'is', 'the', 'next', 'best', 'thing', 'to', 'my', 'Moms', 'cooking', '.']"
53,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Caution', '-', 'its', 'real', 'food', 'for', 'people', 'who', 'love', 'the', 'best', '.']"
290,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['The', 'cooks', 'have', 'been', 'at', 'the', 'restaurant', 'for', 'years', 'and', 'cook', 'family', 'recipes', '.']"
880,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Besides', ',', 'the', 'apple', 'stocks', 'have', 'been', 'falling', 'due', 'to', 'lack', 'of', 'sales', '.']"
